Equipamento;Ativo;MODELO;Tensão;Potencia;Localidade;POLO;SS aberta;OS Associada;Ativo (2);Defeito identificado;Necessário COEP Requisitar material;Cod Material P/ Requisitar;Tecnico Responsável;Previsão de Regularização COCM;Status da Substituição;Equipamento Entregue ?;Data da Substituição;OBRA;SIGCCO;Deposito;EMD;Status Entrega;Previsão de entrega;Data Entrega;Observação;Criticidade;Posto COEP;EL NINO
Religador;7929376022;NOJA RC10;34.5;;BABACULANDIA;TOCANTINOPOLIS;ETO-COEP 00120/2026;;7929376022;Controle Completo;Sim;;Leonardo Santos da Silva;Aguardando entrega do Equipamento;Pendente;Sim;;0612600565;8495;6903;510069 , 515116;Pendente;2026-08-10;;PROBLEMA NO ENVIO DO CONTROLE;Muito Alta;;
Religador;7927169001;NOJA RC10;13.8;;PALMAS;PALMAS;ETO-COEP 00036/2026;ETO-COEP 00036/2026;7927169001;Completo;Sim;;Marcelo Primo;2026-07-16;Concluída;Sim;2026-07-20;0112600425;8495;1905;510209;Concluída;2026-07-07;2026-06-29;;Alta;SS ETO-RD-PA 432/2026;
Religador;7925087021;NOJA RC10;34.5;;PARANA;PEIXE;ETO-COEP 00222/2025;;7925087021;Tanque;Sim;;Julio Cesar;Aguardando entrega do Equipamento;Pendente;Não;Pendente;0412600392;8495;4906;511540;Concluída;2026-07-10;2026-07-10;ETO-RD-GU 1391/2026 (atrasada) Aguardando previsão de substituição;Alta;ETO-RD-AG 697/2026;
Religador;7908705049;COOPER F6;13.8;;AURORA DO TOCANTINS;DIANÓPOLIS;ETO-COEP 00177/2025;ETO-RD-DP 00271/2026;7908705049;Completo;Sim;;Dener Soares;Aguardando entrega do Equipamento;Pendente;Não;Pendente;0512600135;8495;5908;511536;Concluída;2026-07-20;;;Muito Alta;ETO-RD-DP 788/2026;
Religador;7908686014;NOJA RC10;34.5;;PIUM;PARAISO DO TOCANTINS;ETO-COEP 00174/2024;ETO-RD-PS 00194/2026;7908686014;Tanque;Sim;;Joelson Silva de Souza;;Pendente;Não;;0212600425;8495;2903;510214;Concluída;2026-07-10;2026-07-15;Previsão de Substiuição atrasada;Muito Alta;ETO-RD-OS 302/2026;
Religador;7903112004;COOPER F6;34.5;;ARAGUAINA;;ETO-COEP 00184/2025;;7903112004;Tanque - cooper - Aproveitar do 7900018004;Não;;Leonardo Santos da Silva;Aguardando entrega do Equipamento;Pendente;Não;Pendente;;;;;Pendente;;;CONTROLE NOJA ENVIADO;Alta;;
Religador;7900453110;COOPER F6;34.5;;SANTA RITA DO TOCANTINS;PORTO NACIONAL;ETO-COEP 00169/2025;ETO-RD-PO 00121/2026;7900453110;Tanque;Sim;;Edson Curcino;2026-07-10;;Sim;Pendente;0312600264;Indeferir a obra;3905;510215;Concluída;2026-07-01;2026-06-29;Equipamento entregue, redirecionaremos para o Caso 7933726256;Muito Alta;;
Regulador;5854566043;#N/A;34.5;400;SILVANOPOLIS;PORTO NACIONAL;ETO-COEP 00160/2025;ETO-RD-PO 01873/2026;5854566043;Celula Fase B;Sim;690241;Edson Curcino;Aguardando entrega do Equipamento;Pendente;Sim;2026-07-24;0312600352;8495;3905;513847;Pendente;2026-07-20;;Aguardando previsão de substituição;Muito Alta;;
Religador;7957126085;NOJA RC10;34.5;;MONTE SANTO DO TOCANTINS;PARAISO DO TOCANTINS;ETO-COEP 00156/2025;ETO-RD-PS  001001/2026;7957126085;Controle e ajuste;Sim;;Joelson Silva de Souza;NA;NA;Não;NA;0212600428;Indeferir a obra;2903;510216;Concluída;2026-07-10;2026-07-10;Equipamento em operação no SCADA, favor enviar tanque enviado para Porto Nacional e cancelar a Obra. Utilizaremos tanque para Porto7953610256;Média;ETO-RD-PS 301/2026;
Religador;7900117013;COOPER F6;13.8;;PARAISO DO TOCANTINS;PARAISO DO TOCANTINS;ETO-COEP 00122/2025;ETO-RD-PS 00192/2026;7900117013;Completo - Relé Cooper;Sim;;Joelson Silva de Souza;Equipamento Entregue;;Não;2026-07-15;0212600422;8495;2903;510217;Concluída;2026-07-10;2026-07-15;Calendário logistco vai sair hoje 29/05/2026, assim que tiver rota de entrga avisamos;Muito Alta;ETO-RD-OS 325/2026;
Regulador;5855411017;#N/A;13.8;239;BARROLANDIA;MIRACEMA DO TOCANTINS;ETO-COEP 00199/2025;;5855411017;Vamos requisitar 1 controle;Sim;651638;Joelson Silva de Souza;Equipamento Entregue;Pendente;Não;Pendente;0212600536;8389;2903;514628;Concluída;2026-07-10;2026-07-10;Aguardando previsão de substituição;Baixa;ETO-RD-PS 304/2026;
Religador;7900018004;NOJA RC10;34.5;;ARAGUAINA;ARAGUAINA;ETO-COEP 00178/2025;;7900018004;Completo (Controle - cooper);Sim;;Leonardo Santos da Silva;2026-05-27;Concluída;Sim;2026-05-27;0612600439;;6903;508886;Concluída;2026-05-25;2026-05-25;Concluido;Alta;;
Regulador;5856070091;#N/A;34.5;400;ALMAS;DIANÓPOLIS;ETO-COEP 00223/2025;;5862236091;3 celulas;Sim;690241;Dener Soares;Requisição;;;;0512600177;8481;5908;514814;Concluída;2026-07-20;2026-07-20;REQUISITAR 03 PEÇAS POIS 02  PÇ FOI RETIRADA PARA INSTALAÇÃO EM OBRA DE CONSTRUÇÃO.;Muito Alta;ETO-RD-DP 479/2026;
Regulador;5858783119;#N/A;34.5;400;SAO BENTO DO TOCANTINS;TOCANTINOPOLIS;ETO-COEP 00123/2025;;5858783119;Vamos requisitar , 3 celulas;Sim;690241;LUANDERSON;Selecionado Para Aquisição;Pendente;Sim;Pendente;0662600361;8481;6905;Por estrategia não será enviado neste momento equipamento, iremos utilizar em outros reguladores;Pendente;;;Redirecionado para atender 5854566043 e 5862236091;Baixa;ETO-TELE 1032/2026;
Regulador;5827102054;#N/A;34.5;200;PUGMIL;PARAISO DO TOCANTINS;ETO-COEP 00216/2025;ETO-RD-PS  001614/2026;5827102054;Transferir para o COMC, corrigir o aterramento e verificar a possibilidade de corrigir a infiltração do controle com a cola utilizada para vedar vazamento no transformadores;Não;;Joelson Silva de Souza;;Pendente;Sim;Pendente;0212600537;8389;2903;Repasse COCM´s;Concluída;;;Cancelar a obra tentar vedação do equipamento Melhoria de aterramento;Media;;
Regulador;5801866013;#N/A;13.8;167;PARAISO DO TOCANTINS;PARAISO DO TOCANTINS;ETO-COEP 00077/2026;ETO-RD-PS  001616/2026;5801866013;Vamos requisitar, 1 celula;Sim;690669;Joelson Silva de Souza;Aguardando a criação da obra para abrir a requisição;Pendente;Sim;Pendente;0212600539;8389;2903;514627;Concluída;2026-07-10;2026-07-10;Aguardando previsão de substituição;;ETO-RD-OS 303/2026;
Religador;7900573047;COOPER F6;13.8;;FIGUEIROPOLIS;ALVORADA;ETO-COEP 00209/2025;ETO-RD-GU 00493/2026;7900573047;Completo;Sim;;Julio Cesar;Aguardando entrega do Equipamento;Concluída;Não;2026-07-20;0412600391;8495;4906;511539, 511541;Concluída;2026-07-10;2026-07-10;ATRASO COCM´S;Alta;ETO-RD-AG 696/2026;
Regulador;5844630060;#N/A;13.8;239;NOVA OLINDA;COLINAS DO TOCANTINS;ETO-COEP 00167/2025;;5844630060;Vamos requisitar 1 celula fase A;Sim;690236;LEONARDO SANTOS DA SILVA;Requisição;Concluída;Não;2026-07-24;0612600626;8481;6903;512848;Concluída;2026-07-16;2026-07-20;Entrega 16/07;;ETO-RD-AR 1131/2026;
Religador;7900230155;COOPER F6;34.5;;PALMEIRANTE;COLINAS DO TOCANTINS;ETO-COEP 00106/2025;;7900230155;Tanque e PR do trafo e chave;Sim;;WANDER DA SILVA LEITE;Equipamento Entregue;Concluída;Sim;2026-07-07;SEM OBRA;;;;Concluída;2026-05-22;2026-05-22;Concluido;Muito Alta;;
Regulador;5850308009;;13.8;239;GUARAI;GUARAI;ETO-COEP 00180/2025;;5850308009;Controle;Sim;651638;WANDER DA SILVA LEITE;Aguardando equipamento ser entregue;Pendente;Não;Pendente;0712600418;8389;7902;;Pendente;;;"Equipamento em operação em campo de acordo com a visita do Luanderson tem fotos
Equipamento já em operação , realocar controle de Regulador para Arapoema 5800371025";;;
Regulador;5800859011;;13.8;219;TUPIRAMA;GUARAI;ETO-COEP 00115/2026;;5800859011;Controle;Sim;651638;WANDER DA SILVA LEITE;Aguardando equipamento ser entregue;Pendente;Não;Pendente;0712600419;8389;7902;514632 , 516125;Concluída;2026-07-16;;;;;
Regulador;5800438116;#N/A;34.5;200;CHAPADA DA NATIVIDADE;DIANÓPOLIS;ETO-COEP 00171/2025;ETO-RD-DP 1548/2026;5800438116;Vamos requisitar , fase B e C;Sim;690240;Dener Soares;Será utilizado regulador retirado de obra de construção;Pendente;Não;Pendente;0512600179;8481;;Peças no Polo sobressalentes;Concluída;2026-07-16;2026-07-20;NÃO PRECISA REQUISITAR EQUIPAMENTO, VAMOS UTILIZAR EQ RETIRADO DE OBRA DE CONSTRUÇÃO.;;;
Regulador;5800371025;TOSCHIBA;34.5;;COLINAS DO TOCANTINS;COLINAS DO TOCANTINS;ETO-COEP 00187/2025;;5800371025;Controle;SIm;651638;Leonardo Santos da Silva;;Concluída;Sim;2026-07-30;0712600318;8495;7902;514635;Concluída;2026-07-16;20/07/026;;Muito Alta;;
Regulador;5836786094;ITB;34.5;200;PEIXES;GURUPI;;ETO-RD-GU 3374/2026;5836786094;1 Celula;Sim;690240;DIONE SOUSA MARQUES;;Pendente;Não;Pendente;0412600550;8481;;517520;Pendente;;;Aguardando criação da Obra;;;
Regulador;5853360007;ITB;34.5;200;MIRACEMA DO TOCANTINS;MIRACEMA DO TOCANTINS;ETO-RD-PS 323/2025;;5853360007;Melhoria de Aterramento;Não;;JOELSON SILVA DE SOUZA;;Pendente;Sim;Pendente;;8481;;;Pendente;;;Melhoria de aterramento;Média;;
Regulador;5803327001;TOSCHIBA;13.8;167;LUZIMANGUES;PALMAS;ETO-COEP 00149/2026;;5803327001;1 Controle;Sim;651638;Marcelo Primo;;;;;;;;;Concluída;;;CONTROLE RUA QUE VOLTOU DE DIANÓPOLIS;;;
